Month,Barrels Crude Oil Produced Per Day in Nigeria
Apr-22,61421.0
Aug-21,62916.0
Dec-21,76435.0
Feb-22,61474.0
Jan-22,71875.0
Jul-21,61208.0
Jun-21,17016.0
Mar-22,66209.0
May-22,54486.0
Nov-21,66941.0
Oct-21,77839.0
Sep-21,70504.0
